trip_id,transport_type,origin_station,destination_station,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,peak_hour
T00000,Tram,Station_31,Station_6,8.0,Storm,7.789999999999999,54.2,36.93,29.96,No Event,0
T00001,Metro,Station_49,Station_32,1.0,Rain,21.15,54.27,22.47,4.84,No Event,0
T00002,Bus,Station_29,Station_42,21.0,Clear,31.34,52.77,20.41,1.79,Sports,0
T00003,Tram,Station_26,Station_18,3.0,Clear,26.19,52.92,5.59,1.64,No Event,0
T00004,Tram,Station_18,Station_15,3.0,Snow,1.6600000000000001,,20.55,14.8,No Event,0
T00005,Metro,Station_32,Station_40,4.0,Rain,17.17,52.57,20.3,5.6899999999999995,Protest,0
T00006,Bus,Station_22,Station_32,24.0,Storm,15.5,59.67,49.67,28.17,Parade,0
T00007,Bus,Station_38,Station_9,7.0,Clear,16.76,63.0,13.48,1.79,No Event,0
T00008,Tram,Station_17,Station_37,10.0,Clear,18.91,,14.81,1.94,Concert,0
T00009,Train,Station_23,Station_10,-5.0,Fog,22.57,56.33,23.68,1.44,No Event,0
T00010,Tram,Station_24,Station_20,7.0,Snow,3.4200000000000017,57.88,21.5,14.74,No Event,0
T00011,Tram,Station_50,Station_6,-3.0,Cloudy,7.199999999999999,50.47,18.93,2.08,No Event,0
T00012,Tram,Station_8,Station_48,13.0,Clear,29.83,,15.23,1.45,Parade,1
T00013,Tram,Station_41,Station_3,19.0,Storm,13.25,55.61,44.35,28.53,No Event,1
T00014,Metro,Station_6,Station_42,19.0,Storm,2.3999999999999986,44.97,48.230000000000004,21.77,No Event,1
T00015,Bus,Station_5,Station_11,-13.0,Fog,25.29,49.49,12.57,1.75,No Event,1
T00016,Metro,Station_44,Station_43,14.0,Storm,10.129999999999999,45.75,48.06,29.35,Festival,0
T00017,Metro,Station_29,Station_17,0.0,Fog,24.61,,9.19,2.64,No Event,0
T00018,Metro,Station_28,Station_32,-3.0,Clear,23.96,55.26,11.85,1.95,No Event,0
T00019,Tram,Station_11,Station_4,20.0,Clear,26.3,44.22,10.52,1.5,Festival,0
T00020,Train,Station_1,Station_4,10.0,Clear,19.99,55.6,20.62,2.16,Concert,0
T00021,Bus,Station_43,Station_17,-7.0,Clear,21.9,52.1,16.11,1.77,No Event,0
